Team,Player,PPG,APG,Conf
Georgia Southern,Dwayne Williams Jr.,5.3,0.4,SUN-BELT
Georgia State,Trey Scott III,5.3,0.8,SUN-BELT
LouisianaâMonroe,Alex Molofeev,5.3,1.8,SUN-BELT
Texas State,Robert Fields,5.3,0.4,SUN-BELT
Georgia Southern,Jefferson Koulibaly,5.2,0.8,SUN-BELT
Texas State,Jalen Bolden,5.2,0.7,SUN-BELT
Arkansas State,Chudi Dioramma,5.1,0.7,SUN-BELT
Louisiana,Karris Bilal,5.0,0.4,SUN-BELT
Marshall,Wilson Dubinsky,5.0,1.2,SUN-BELT
Georgia State,Anthony Enoh,4.9,0.9,SUN-BELT
South Alabama,Hantz Louis-Jeune,4.9,0.6,SUN-BELT
Georgia Southern,Andres Burney,4.8,0.3,SUN-BELT
Georgia State,Ayouba Berthe,4.7,0.8,SUN-BELT
Coastal Carolina,DaJohn Craig,4.6,0.4,SUN-BELT
Georgia Southern,Shainen Carter,4.6,0.2,SUN-BELT
Coastal Carolina,Nadjrick Peat,4.3,0.1,SUN-BELT
Arkansas State,Fredy-Salam Sylla,4.2,0.3,SUN-BELT
Appalachian State,Grant Clayton,4.0,0.5,SUN-BELT
Arkansas State,Aly Tounkara,4.0,0.5,SUN-BELT
Marshall,Erich Harding,4.0,0.5,SUN-BELT
Old Dominion,Drew McKenna,4.0,0.5,SUN-BELT
Coastal Carolina,Tristan Thompson,3.9,0.8,SUN-BELT
Troy,Kerrington Kiel,3.9,1.0,SUN-BELT
Georgia Southern,Sean Van Dorn Jr.,3.8,0.3,SUN-BELT
Louisiana,Milan Mejia,3.8,0.7,SUN-BELT
South Alabama,JJ Wheat,3.8,1.3,SUN-BELT
Appalachian State,Jason Clarke Jr.,3.6,1.4,SUN-BELT
Troy,Austin Cross,3.6,0.4,SUN-BELT
James Madison,Ike Cornish,3.5,0.7,SUN-BELT
James Madison,Kose Egbule,3.5,1.8,SUN-BELT
Marshall,Shamarrie Hugie,3.5,0.4,SUN-BELT
Appalachian State,Andrin Njock,3.3,0.4,SUN-BELT
Georgia State,Christian Beam,3.3,0.2,SUN-BELT
Southern Mississippi,Chiante Tramble,3.2,0.9,SUN-BELT
LouisianaâMonroe,Ayomide Bamisile,3.1,0.2,SUN-BELT
Georgia State,Kwame Tanic,3.0,0.0,SUN-BELT
Louisiana,Todd Jones,3.0,0.3,SUN-BELT
Old Dominion,Scottie Hubbard,3.0,0.5,SUN-BELT
Texas State,Ky Pernell,3.0,0.0,SUN-BELT
Georgia State,Christopher Jones,2.9,0.4,SUN-BELT
Southern Mississippi,Tegra Izay,2.9,0.2,SUN-BELT
Troy,Evan Griffin,2.9,0.7,SUN-BELT
Appalachian State,Cameron O'Kelley,2.8,0.8,SUN-BELT
Appalachian State,Chad Moodie,2.8,0.1,SUN-BELT
James Madison,Christian Brown,2.8,0.4,SUN-BELT
James Madison,Paul Jones III,2.8,0.7,SUN-BELT
Louisiana,Jeremiah Evans,2.8,0.3,SUN-BELT
LouisianaâMonroe,Micah Caster,2.8,0.7,SUN-BELT
Marshall,Andrew Fuquay,2.8,0.2,SUN-BELT
South Alabama,Brian Hawthorne,2.7,1.0,SUN-BELT
Southern Mississippi,Brewer Carruth,2.7,0.3,SUN-BELT
Texas State,Tay Knox,2.7,0.4,SUN-BELT
Coastal Carolina,Braeden MacVicar,2.6,0.1,SUN-BELT
Texas State,Jaelyn Lee,2.6,0.4,SUN-BELT
James Madison,Paul Lewis,2.5,1.8,SUN-BELT
LouisianaâMonroe,Przemek Hartman,2.5,0.2,SUN-BELT
Southern Mississippi,EJ Paymon,2.4,0.3,SUN-BELT
James Madison,Eli Wilborn,2.3,0.2,SUN-BELT
Texas State,Deke Thompson,2.3,0.0,SUN-BELT
Coastal Carolina,Derrick Green,2.2,0.2,SUN-BELT
Marshall,Bryce Slay,2.2,0.6,SUN-BELT
Troy,Javen Colbert,2.2,0.8,SUN-BELT
Coastal Carolina,Jerry Ngopot,2.1,0.1,SUN-BELT
Old Dominion,Ben Nacey,2.1,0.3,SUN-BELT
Southern Mississippi,IJ Ezuma,2.1,0.3,SUN-BELT
Georgia Southern,Tsvet Sotirov,2.0,0.4,SUN-BELT
Southern Mississippi,Fallou Diagne,2.0,0.1,SUN-BELT
South Alabama,John Broom,1.9,0.3,SUN-BELT
Southern Mississippi,Dalyn Brandon,1.9,0.3,SUN-BELT
Georgia State,Isaiah Sherrard,1.8,0.3,SUN-BELT
LouisianaâMonroe,Alex Huguet Carrasco,1.8,0.2,SUN-BELT
Troy,Emmanuel Clarton,1.8,0.4,SUN-BELT
Southern Mississippi,Felipe Patino,1.7,0.1,SUN-BELT
Troy,Corbin Green,1.6,0.3,SUN-BELT
Marshall,Grant Moore,1.5,0.0,SUN-BELT
Old Dominion,Donovan Raymond,1.5,0.2,SUN-BELT
Louisiana,Michael Collins,1.4,1.0,SUN-BELT
Texas State,Isaiah Barganier,1.4,0.0,SUN-BELT
Coastal Carolina,Charles Dunlap,1.3,0.0,SUN-BELT
Georgia Southern,Jayden Williams,1.3,0.4,SUN-BELT
Marshall,Kai Spears,1.3,0.4,SUN-BELT
Southern Mississippi,Robert Cowherd,1.3,0.1,SUN-BELT
Appalachian State,Jacari Brim,1.2,0.7,SUN-BELT
James Madison,Justin Taylor,1.1,0.2,SUN-BELT
Georgia State,James Cooper,1.0,0.2,SUN-BELT
Louisiana,Kyran Ratliff,1.0,0.3,SUN-BELT
Old Dominion,Cooper Jones,1.0,0.3,SUN-BELT
South Alabama,Maxwell Land,1.0,0.0,SUN-BELT
Coastal Carolina,Jackson Keil,0.8,0.6,SUN-BELT
LouisianaâMonroe,Ajay Tew,0.8,0.0,SUN-BELT
Troy,Kameryn Mitchell,0.8,0.0,SUN-BELT
Texas State,Cameron Simpson,0.5,0.0,SUN-BELT
Louisiana,Michael Mouton,0.4,0.4,SUN-BELT
LouisianaâMonroe,William Ball,0.4,0.9,SUN-BELT
Old Dominion,Rieco Hellams,0.3,0.3,SUN-BELT
Troy,Hikaru Awata,0.3,0.0,SUN-BELT
Coastal Carolina,Connor Martin,0.0,0.0,SUN-BELT
Georgia Southern,Cade Lomas,0.0,0.0,SUN-BELT
Louisiana,Christian Landry,0.0,0.0,SUN-BELT
Louisiana,Logan Myers,0.0,0.0,SUN-BELT
LouisianaâMonroe,Cam Campbell,0.0,0.0,SUN-BELT
Old Dominion,CJ Parker,0.0,0.3,SUN-BELT
Akron,Tavari Johnson,20.6,5.2,MAC
Buffalo,Daniel Freitag,19.8,3.8,MAC
Kent State,Delrecco Gillespie,18.7,1.8,MAC
Bowling Green,Javontae Campbell,18.6,5.1,MAC
Buffalo,Ryan Sabol,18.3,3.5,MAC
Massachusetts,Leonardo Bettiol,17.6,2.1,MAC
Toledo,Sonny Wilson,17.2,4.6,MAC
Ohio,Jackson Paveletzke,16.7,5.3,MAC
Massachusetts,Marcus Banks Jr.,16.6,1.8,MAC
Toledo,Leroy Blyden Jr.,15.7,4.3,MAC
Akron,Amani Lyles,15.2,2.3,MAC
Western Michigan,Justice Williams,14.9,2.1,MAC
Miami (OH),Brant Byers,14.6,0.6,MAC
Miami (OH),Peter Suder,14.6,4.1,MAC
Buffalo,Angelo Brizzi,14.2,1.6,MAC
Eastern Michigan,Mohammad Habhab,14.1,3.1,MAC
Kent State,Morgan Safford,14.1,1.5,MAC
Ohio,Javan Simmons,14.1,1.4,MAC
Ohio,Aidan Hadaway,14.0,2.1,MAC
Miami (OH),Evan Ipsaro,13.9,3.3,MAC
Northern Illinois,Makhai Valentine,13.8,1.0,MAC
Eastern Michigan,Addison Patterson,13.5,2.8,MAC
Ball State,Davion Hill,13.4,2.1,MAC
Eastern Michigan,Carlos Hart,13.1,2.7,MAC
Western Michigan,Jalen Griffith,12.7,3.5,MAC
Akron,Shammah Scott,12.6,2.9,MAC
Central Michigan,Tamario Adley,12.6,3.5,MAC
Western Michigan,Jayden Brewer,12.6,1.2,MAC
Central Michigan,Nathan Claerbaut,12.3,1.5,MAC
Bowling Green,Sam Towns,12.2,1.7,MAC
Miami (OH),Eian Elmer,12.1,1.2,MAC
Ball State,Armoni Zeigler,12.0,2.9,MAC
Toledo,Sean Craig,12.0,1.6,MAC
Bowling Green,Josiah Shackelford,11.6,0.9,MAC
Kent State,Rob Whaley Jr.,11.6,1.5,MAC
Massachusetts,Daniel Hankins-Sanford,11.6,1.4,MAC
Massachusetts,K'Jei Parker,11.5,2.1,MAC
Northern Illinois,Dylan Ducommun,11.5,3.7,MAC
Toledo,Austin Parks,11.2,1.8,MAC
Bowling Green,Mayar Wol,11.0,0.8,MAC
Central Michigan,Phat Phat Brooks,10.8,3.8,MAC
Kent State,Cian Medley,10.6,6.6,MAC
Miami (OH),Almar Atlason,10.6,1.0,MAC
Central Michigan,Logan McIntire,10.4,1.4,MAC
Miami (OH),Luke Skaljac,10.4,4.8,MAC
Akron,Evan Mahaffey,10.1,3.5,MAC
Miami (OH),Antwone Woolfolk,10.1,1.6,MAC
Kent State,Jahari Williamson,10.0,0.7,MAC
Northern Illinois,Gianni Cobb,9.6,4.0,MAC
Toledo,Kyler Vanderjagt,9.4,1.3,MAC
Kent State,Quinn Woidke,9.2,1.5,MAC
Ball State,Devon Barnes,9.1,1.9,MAC
Ball State,Joey Hart,9.0,1.0,MAC
Ohio,JJ Kelly,9.0,0.6,MAC
Central Michigan,Rodney Johnson Jr.,8.9,1.0,MAC
Northern Illinois,JJ Taylor,8.7,0.3,MAC
Northern Illinois,Taj Walters,8.5,0.5,MAC
Buffalo,Tim Oboh,8.3,0.3,MAC
Akron,Eric Mahaffey,8.1,1.6,MAC
Northern Illinois,Gustav Winther,8.1,0.9,MAC
Central Michigan,Keenan Garner,7.9,1.5,MAC
Ball State,Elmore James,7.8,0.9,MAC
Western Michigan,Brady Swartz,7.7,0.4,MAC
Western Michigan,EJ Ryans,7.7,1.9,MAC
Bowling Green,Javon Ruffin,7.6,1.7,MAC
Ohio,Ajay Sheldon,7.6,2.0,MAC
Western Michigan,Trey Lewis,7.6,0.5,MAC
Akron,Bowen Hardman,7.4,0.2,MAC
Bowling Green,Troy Glover II,7.3,0.6,MAC
Buffalo,Noah Batchelor,7.2,1.4,MAC
Akron,Sharron Young,6.9,1.6,MAC
Ball State,Kayden Fish,6.9,0.6,MAC
Northern Illinois,Jao Ituka,6.9,0.9,MAC
Eastern Michigan,Gregory Lawson,6.8,0.7,MAC
Miami (OH),Justin Kirby,6.8,0.7,MAC
Ball State,Juwan Maxey,6.6,1.1,MAC
Massachusetts,Danny Carbuccia,6.5,6.4,MAC
Massachusetts,Jayden Ndjigue,6.3,1.9,MAC
Eastern Michigan,Jon Sanders,6.2,1.0,MAC
Western Michigan,Max Burton,6.1,1.7,MAC
Toledo,Jaylan Ouwinga,6.0,0.6,MAC
Central Michigan,Nick Mullen,5.7,0.9,MAC
Northern Illinois,Daemar Kelly,5.6,1.3,MAC
Central Michigan,Jaxson Whitaker,5.4,1.0,MAC
Eastern Michigan,Mak Manciel,5.4,0.6,MAC
Western Michigan,Carson Vis,5.4,0.8,MAC
Eastern Michigan,Godslove Nwabude,5.3,0.3,MAC
Miami (OH),Trey Perry,5.3,1.2,MAC
Buffalo,Ezra McKenna,5.2,1.1,MAC
Kent State,Deandre Jones,5.0,0.2,MAC
Bowling Green,Justin Thomas,4.9,2.7,MAC
Buffalo,Derrick Talton Jr.,4.9,3.3,MAC
Northern Illinois,Hassan Washington,4.8,0.6,MAC
Bowling Green,Aidenn Goins,4.7,0.2,MAC
Eastern Michigan,Braelon Green,4.5,1.3,MAC
Western Michigan,Hudson Ward,4.5,0.8,MAC
Ball State,Mason Jones,4.3,1.7,MAC
Ball State,Preston Copeland,4.3,0.3,MAC
Eastern Michigan,Mehki Ellison,4.3,1.3,MAC
Toledo,Chris Riddle,4.3,1.7,MAC
Massachusetts,Isaiah Placide,4.2,0.3,MAC
Ohio,Dior Conners,4.2,0.7,MAC
Central Michigan,Jalen Kampen,4.1,0.4,MAC
Ohio,Elijah Elliott,4.1,2.0,MAC
Kent State,Rayvon Griffith,4.0,0.9,MAC
Ohio,Jesse Burris,4.0,0.3,MAC
Buffalo,Mikhail Pocknett,3.9,0.3,MAC
Toledo,Mynor Strong,3.9,0.7,MAC
Ohio,Jalen Breath,3.8,0.4,MAC
Ohio,Jordan Fisher,3.8,0.2,MAC
Akron,Halil Barre,3.7,0.1,MAC
Western Michigan,Sharod Barnes,3.5,1.3,MAC
Ball State,Cam Denson,3.3,0.8,MAC
Bowling Green,Makhi Leach,3.3,0.4,MAC
Massachusetts,Dimitri Clerc,3.3,0.2,MAC
Miami (OH),Tyler Robbins,3.3,0.3,MAC
Kent State,Magnus Entenmann,3.2,0.5,MAC
Miami (OH),Kyle Waltz,3.2,0.6,MAC
Ohio,Kiir Kuany,3.2,0.1,MAC
Toledo,Will James Jr.,3.1,0.7,MAC
Akron,Zach Halligan,3.0,0.8,MAC
Kent State,Dylan Lakatos,3.0,0.0,MAC
Toledo,Phoenix Glassnor,3.0,0.3,MAC
Western Michigan,Michael Sulaka,3.0,0.4,MAC
Central Michigan,Kayden Nation,2.9,0.5,MAC
Northern Illinois,Carlos Coronado Jr.,2.9,0.6,MAC
Northern Illinois,Ladji Kante,2.9,0.4,MAC
Eastern Michigan,Aidan Rubio,2.8,0.5,MAC
Akron,Ognjen Stankovic,2.6,0.6,MAC
Bowling Green,Jason Kimbrough Jr.,2.5,1.3,MAC
Central Michigan,Will Ashford,2.5,0.7,MAC
Kent State,Landon Vanderwarker,2.5,0.3,MAC
Northern Illinois,Isaiah Washington,2.5,0.5,MAC
Toledo,London Praytor,2.4,0.3,MAC
Akron,Marvin Musiime-Kamali,2.3,0.5,MAC
Kent State,Dezmon Briscoe,2.3,0.4,MAC
Massachusetts,Luka Damjanac,2.3,0.7,MAC
Ohio,Ayden Evans,2.3,0.3,MAC
Western Michigan,Declan Peterson,2.3,0.6,MAC
Bowling Green,Camden Karel,2.1,0.1,MAC
Ball State,Jai Anthoni Bearden,2.0,0.1,MAC
Kent State,Drew Huffman,2.0,1.5,MAC
Buffalo,Kyle Jones,1.9,0.3,MAC
Massachusetts,Dwayne Wimbley Jr.,1.9,0.4,MAC
Northern Illinois,Jaylen Wharton,1.9,0.1,MAC
Ball State,Kody Clancy,1.8,0.6,MAC
Eastern Michigan,Merritt Alderink,1.8,0.1,MAC
Kent State,Omer Hamama,1.8,1.3,MAC
Miami (OH),Brady Ganley,1.8,0.3,MAC
Massachusetts,Charles Outlaw,1.7,0.0,MAC
Ball State,Easton Foster,1.6,0.2,MAC
Kent State,Brenden Moss,1.5,0.1,MAC
Miami (OH),Eli Yofan,1.5,0.5,MAC
Akron,Rich Brisco,1.4,0.0,MAC
Bowling Green,Mohamed Maxamud,1.4,0.0,MAC
Miami (OH),Ethan Wright,1.4,0.0,MAC
Miami (OH),Jackson Kotecki,1.2,0.4,MAC
Western Michigan,Nicholas Errica,1.2,0.2,MAC
Northern Illinois,Isaiah Stewart,1.1,0.4,MAC
Bowling Green,Preston Squire,1.0,0.3,MAC
Buffalo,Aleksa Vlajic,1.0,0.0,MAC
Buffalo,Omar Migues-HibeljiÄ,1.0,0.0,MAC
Eastern Michigan,John Shanu II,1.0,0.1,MAC
Massachusetts,Donovan Brown,0.9,0.5,MAC
Western Michigan,Junior Sileu,0.9,0.0,MAC
Bowling Green,Alijah Adem,0.8,0.2,MAC
Eastern Michigan,Mbaye N'Diaye,0.8,0.2,MAC
Toledo,Toby Nwokolo,0.8,0.2,MAC
Toledo,Tyler Ode,0.8,0.2,MAC
Akron,Conner Groce,0.7,0.1,MAC
Buffalo,Matas Buteliauskas,0.6,0.0,MAC
Northern Illinois,Max Laskey,0.6,0.2,MAC
Central Michigan,Jorden Brooks,0.5,0.2,MAC
Bowling Green,Christian Dedivanaj,0.4,0.6,MAC
Eastern Michigan,Cooper Smith,0.4,0.0,MAC
Ball State,Alex Farley,0.0,0.0,MAC
Buffalo,Daniel Shao,0.0,0.0,MAC
Kent State,Jaymen Townsend,0.0,4.0,MAC
Massachusetts,Rollie Castineyra,0.0,0.0,MAC
Kennesaw State,Simeon Cottle,20.2,3.8,CUSA
Jacksonville State,Mostapha El Moutaouakkil,19.1,1.4,CUSA
Western Kentucky,Teagan Moore,18.5,2.1,CUSA
Missouri State,Keith Palek III,18.0,3.7,CUSA
Florida International,Corey Stephenson,17.9,1.6,CUSA
Delaware,Justyn Fernandez,16.7,2.2,CUSA
New Mexico State,Jemel Jones,16.7,2.5,CUSA
Liberty,Brett Decker Jr.,16.5,1.1,CUSA
Delaware,Christian Bliss,16.4,5.9,CUSA
Missouri State,Kobi Williams,15.1,1.5,CUSA
Kennesaw State,RJ Johnson,14.6,3.7,CUSA
Sam Houston State,Po'Boigh King,14.3,1.6,CUSA
Delaware,Tyler Houser,14.2,1.7,CUSA
Louisiana Tech,DJ Dudley,14.2,1.9,CUSA
Missouri State,Michael Osei-Bonsu,14.2,2.2,CUSA
UTEP,Elijah Jones,14.2,0.6,CUSA
Middle Tennessee,Kamari Lands,13.9,2.1,CUSA
UTEP,Jamal West Jr.,13.5,1.4,CUSA
Middle Tennessee,Torey Alston,13.3,1.4,CUSA
Liberty,Kaden Metheny,12.9,3.1,CUSA
UTEP,Kaseem Watson,12.7,1.4,CUSA
Jacksonville State,AC Bryant,12.4,1.0,CUSA
Western Kentucky,Grant Newell,12.3,1.0,CUSA
Florida International,Julian Mackey,12.1,1.8,CUSA
Florida International,Zawdie Jackson,11.8,3.0,CUSA
Liberty,Colin Porter,11.8,3.5,CUSA
Liberty,JJ Harper,11.8,1.4,CUSA
Delaware,Macon Emory,11.5,1.2,CUSA
Liberty,Zach Cleveland,11.4,6.9,CUSA
Kennesaw State,Braedan Lue,11.1,1.1,CUSA
Sam Houston State,Kashie Natt,11.1,2.3,CUSA
Western Kentucky,Ryan Myers,11.1,1.6,CUSA
Western Kentucky,Armelo Boone,11.0,2.1,CUSA
New Mexico State,Julius Mims,10.9,0.7,CUSA
Louisiana Tech,AJ Bates,10.7,5.8,CUSA
Louisiana Tech,Scooter Williams Jr.,10.7,1.4,CUSA
Sam Houston State,Isaiah Manning,10.7,1.3,CUSA
Sam Houston State,Veljko Ilic,10.6,2.2,CUSA
UTEP,Caleb Blackwell,10.4,2.9,CUSA
Sam Houston State,Jacob Walker,10.3,2.3,CUSA
Florida International,Larry Olayinka,10.2,0.9,CUSA
Middle Tennessee,Jahvin Carter,10.0,3.5,CUSA
Middle Tennessee,Savon Wykle,10.0,1.0,CUSA
Louisiana Tech,Kaden Cooper,9.9,1.0,CUSA
Delaware,Jameel Brown,9.8,0.8,CUSA
Kennesaw State,Frankquon Sherman,9.6,1.1,CUSA
Middle Tennessee,Sean Smith,9.6,3.6,CUSA
Sam Houston State,Justin Begg,9.5,3.6,CUSA
Jacksonville State,JaCoby Hill,9.3,1.6,CUSA
Kennesaw State,Trey Simpson,9.1,0.6,CUSA
Florida International,Eric Dibami,9.0,1.0,CUSA
Kennesaw State,Ramone Seals,9.0,0.5,CUSA
New Mexico State,Elijah Elliott,9.0,2.5,CUSA
Middle Tennessee,Alec Oglesby,8.9,0.9,CUSA
Missouri State,Trey Williams Jr.,8.6,2.9,CUSA
New Mexico State,Jayland Randall,8.6,0.7,CUSA
Louisiana Tech,Avery Thomas II,8.4,0.5,CUSA
Sam Houston State,Damon Nicholas Jr.,8.3,1.5,CUSA
Jacksonville State,Emondrek Erkins-Ford,8.1,1.0,CUSA
Sam Houston State,Jacobe Coleman,8.1,1.6,CUSA
Western Kentucky,LJ Hackman,8.1,1.6,CUSA
Florida International,Ashton Williamson,8.0,2.6,CUSA
UTEP,Tyreese Watson,8.0,3.3,CUSA
New Mexico State,Anthony Wrzeszcz,7.6,1.1,CUSA
Missouri State,Amar Kuljuhovic,7.5,1.5,CUSA
Middle Tennessee,Chris Loofe,7.4,0.8,CUSA
Missouri State,Zaxton King,7.4,1.7,CUSA
Western Kentucky,Bryant Selebangue,7.2,0.8,CUSA
Liberty,Josh Smith,7.0,0.3,CUSA
Kennesaw State,Jaden Harris,6.9,0.8,CUSA
Western Kentucky,Terrion Murdix,6.4,4.1,CUSA
Jacksonville State,Jamar Franklin,6.2,0.4,CUSA
Florida International,Brit Harris,5.9,1.5,CUSA
New Mexico State,Jae'Coby Osborne,5.9,0.6,CUSA
Middle Tennessee,Tre Green,5.8,0.6,CUSA
UTEP,KJ Thomas,5.8,3.1,CUSA
Kennesaw State,Amir Taylor,5.7,0.8,CUSA
Kennesaw State,Kaden Rickard,5.6,2.5,CUSA
Kennesaw State,Darius Washington III,5.5,1.7,CUSA
Jacksonville State,Jaye Nash,5.4,4.1,CUSA
Jacksonville State,Marcus Fitzgerald Jr.,5.1,1.0,CUSA
Missouri State,Darrion Sutton,5.1,0.8,CUSA
Missouri State,Antwan Burnett,5.0,1.1,CUSA
Western Kentucky,Cameron Haffner,5.0,0.5,CUSA
Delaware,Mason Ellison,4.7,0.9,CUSA
Louisiana Tech,Sir Issac Herron,4.7,0.6,CUSA
Delaware,Alex Kazanecki,4.6,0.6,CUSA
Louisiana Tech,Melian Martinez,4.5,0.2,CUSA
New Mexico State,Chris Terrell,4.5,2.0,CUSA
Jacksonville State,Iaroslav Niagu,4.4,1.2,CUSA
Louisiana Tech,Jaylen Fenner,4.4,0.8,CUSA
Florida International,Olajuwon Ibrahim,4.3,0.2,CUSA
Jacksonville State,Bencao Vungo,4.0,0.5,CUSA
New Mexico State,Cyr Malonga,4.0,0.2,CUSA
New Mexico State,Kyrese Mullen,4.0,0.5,CUSA
Middle Tennessee,Marcus Whitlock,3.9,0.4,CUSA
New Mexico State,Gabe Pickens,3.9,3.0,CUSA
Sam Houston State,Jaxson Ford,3.7,0.6,CUSA
UTEP,LA Hayes,3.7,0.6,CUSA
Kennesaw State,Perry Smith Jr.,3.6,0.8,CUSA
Western Kentucky,Kade Unseld,3.6,0.4,CUSA
Florida International,Thiago Sucatzky,3.5,2.3,CUSA
UTEP,Trey Horton III,3.4,0.7,CUSA
Missouri State,Ryder Cheesman,3.3,0.3,CUSA
Sam Houston State,Matt Dann,3.3,0.3,CUSA
UTEP,David Tubek,3.3,0.3,CUSA
Liberty,Zander Carter,3.2,0.8,CUSA
Delaware,Cavan Reilly,3.0,1.0,CUSA
Louisiana Tech,Will Allen,3.0,0.3,CUSA
New Mexico State,Amarco Doyle,3.0,0.0,CUSA
UTEP,Cassius Brooks,3.0,0.8,CUSA
Western Kentucky,Louie Semona,2.9,0.7,CUSA
Western Kentucky,Noah Boyde,2.9,0.3,CUSA
New Mexico State,Augustine Ekwe,2.8,0.2,CUSA
Delaware,Jayden Taylor,2.6,0.2,CUSA
Western Kentucky,Blaise Keita,2.5,0.3,CUSA
Middle Tennessee,Luka Jovanovic,2.4,0.4,CUSA
Sam Houston State,CJ Beaumont,2.4,0.2,CUSA
Louisiana Tech,Kylan Howze,2.3,0.3,CUSA
Louisiana Tech,William Jeffress,2.3,0.1,CUSA
Missouri State,Melakih Cunningham,2.3,0.6,CUSA
Jacksonville State,Thomas Tut,2.2,0.2,CUSA
Middle Tennessee,James Dent Jr.,2.2,1.0,CUSA
Jacksonville State,Aitor Anabitarte,2.1,0.5,CUSA
Jacksonville State,Toby Nnadozie,2.1,0.6,CUSA
Missouri State,Tyrique Brooks,2.1,0.5,CUSA
Delaware,Nnanna Njoku,2.0,0.0,CUSA
Liberty,Ryan Jones Jr.,2.0,0.0,CUSA
Liberty,Zander Yates,2.0,0.3,CUSA
Middle Tennessee,Jarred Hall,1.9,0.6,CUSA
Western Kentucky,Leeroy Odiahi,1.9,0.0,CUSA
Florida International,Kennedy Brown,1.8,0.2,CUSA
Liberty,JC Shirer Jr.,1.8,0.6,CUSA
Liberty,TJ Drain,1.8,0.2,CUSA
Louisiana Tech,Jermaurhiyun Anderson,1.7,0.0,CUSA
Florida International,Amarion Nimmers,1.6,0.6,CUSA
Louisiana Tech,Keegan Rowell,1.6,0.1,CUSA
UTEP,C.J. Smith,1.6,0.1,CUSA
Delaware,Houston Emory,1.5,0.2,CUSA
Kennesaw State,Eric Holland,1.5,0.1,CUSA
Missouri State,Cameron Boone,1.5,0.1,CUSA
Jacksonville State,Connor Loy,1.3,0.7,CUSA
Missouri State,Logan Epes,1.3,0.3,CUSA
Delaware,Bouna Kebe,1.2,0.3,CUSA
Kennesaw State,Dozie Onyirimba,1.2,0.0,CUSA
Western Kentucky,Cade Stinnett,1.2,0.1,CUSA
Western Kentucky,Jack Edelen,1.1,1.0,CUSA
Florida International,Aydan Clinton,1.0,0.0,CUSA
Kennesaw State,Charles Stone,1.0,0.0,CUSA
Florida International,Renato Ruiz,0.9,0.0,CUSA
Liberty,Brady Kester,0.9,0.0,CUSA
Liberty,Drew Grimes,0.8,0.1,CUSA
Liberty,Torr Sorensen,0.8,0.0,CUSA
New Mexico State,Christian Villegas,0.8,0.2,CUSA
Louisiana Tech,Lachlan Thompson,0.7,0.0,CUSA
UTEP,Bobby Montgomery Jr.,0.7,0.1,CUSA
UTEP,Jordan Hernandez,0.7,0.2,CUSA
UTEP,Mouhamed Mbaye,0.7,0.0,CUSA
Jacksonville State,Aidan Driggers,0.6,0.0,CUSA
